,train_loss,validate_loss,validate_accuracy
0,0.9947808473460992,3.4097717702350536,9.61
1,0.43220967936906085,0.46531774093062994,88.0
2,0.3638405229947364,0.3486025396378082,90.58
3,0.33428979097959155,0.31471252208307476,91.38
4,0.31658205313442905,0.3007721052681379,91.63
5,0.3041430632351655,0.2837712421872865,92.01
6,0.29371284340062137,0.2768574360841002,92.08
7,0.2845841552842467,0.2677516139286126,92.42
8,0.2764708410822955,0.2612588644030064,92.56
9,0.26841898398313624,0.2548106787713512,92.83
10,0.2607363016099742,0.2476039762559511,92.93
11,0.2534010058231202,0.24102927848689665,93.14
12,0.2458770590754087,0.23511162575450248,93.41
13,0.23973710463002523,0.2298413041332033,93.59
14,0.2334481782962832,0.22442979795042498,93.66
15,0.22787669664143734,0.21937818843017148,93.86
16,0.22277863357384892,0.21515682997259777,93.97
17,0.2183209061289501,0.20982906977005158,94.12
18,0.2135597967853768,0.20707360130866015,94.15
19,0.20953573980983212,0.2039829533006863,94.31
20,0.20569470190640368,0.20190518891513615,94.4
21,0.2022251903075903,0.1985775211911729,94.4
22,0.1986174266433767,0.19616927315655533,94.57
23,0.19487726665828287,0.19300831955798076,94.62
24,0.192087786147753,0.19037836344507406,94.75
25,0.18928104172989613,0.1885788229451167,94.81
26,0.18633423977180674,0.18649649351935751,94.85
27,0.18343450963205304,0.18401928647775748,94.97
28,0.18079732075021948,0.1822240668892517,94.9
29,0.17849549908017234,0.18154636632427473,94.9
30,0.17604209081262115,0.1778157995714881,95.05
31,0.17376261817109157,0.1765299264096287,95.14
32,0.1714256892798231,0.17510927524619035,95.25
33,0.1691446341311498,0.17353620593651115,95.23
34,0.1672407795891362,0.171253986361528,95.28
35,0.16483291628468097,0.17115399526150749,95.3
36,0.1631157446340839,0.1697194930938934,95.29
37,0.16120732384789857,0.16883591547687135,95.35
38,0.1595347525269891,0.16752747457097555,95.28
39,0.15760057403232466,0.16734454319835065,95.22
40,0.1556494922286627,0.16515272120470914,95.39
41,0.15415980979501118,0.16635097504998428,95.41
42,0.152386711681342,0.16548110545056158,95.33
43,0.1510731757321756,0.16222768025106682,95.46
44,0.14921311326358144,0.16135509599631406,95.52
45,0.14772061988967222,0.1610984339024207,95.62
46,0.1460568060703378,0.15732053636220134,95.51
47,0.14486637526872662,0.16011093843318278,95.48
48,0.14355262236361538,0.1582924229710146,95.66
49,0.14186081264877234,0.15765895274211575,95.62
50,0.14060272253659922,0.15593064807825466,95.64
51,0.13919898561591645,0.1538067905405254,95.77
52,0.13792144887800567,0.1544023680371466,95.69
53,0.13621134887764683,0.15581488765464996,95.56
54,0.13521273316712842,0.15649108458158456,95.56
55,0.1341349603982349,0.15231480101946393,95.65
56,0.13314692577692955,0.15382701201149823,95.62
57,0.13176921103505343,0.15019705812805959,95.71
58,0.13067092887361242,0.1519924182860148,95.77
59,0.12985834578596975,0.14992786660340754,95.69
60,0.12850496183979437,0.15048544287125015,95.73
61,0.12730924226290558,0.15203834925653015,95.56
62,0.12625114504285345,0.1493798886729498,95.74
63,0.1251998133726451,0.1492874395007833,95.77
64,0.1245329342815261,0.14888949760792525,95.77
65,0.12333816056936371,0.14956257048049565,95.78
66,0.12236623366540501,0.1485701798719066,95.74
67,0.12169057472102802,0.1487800919012559,95.68
68,0.1206488685007751,0.14884742032529183,95.67
69,0.11982164790185307,0.14799988437499076,95.85
70,0.11903579747987868,0.14599155481306858,95.77
71,0.11792891049950022,0.14662847385906008,95.92
72,0.11736492958255106,0.14660864789154074,95.89
73,0.11630982909924135,0.1456284787069673,95.86
74,0.11566952268635886,0.1459817115640652,95.89
75,0.11461845316898267,0.14476099073324902,95.8
76,0.11401316939972797,0.1449565385117579,95.81
77,0.1134134050721508,0.14552192476173373,95.9
78,0.11256785636470548,0.14551439001405644,95.97
79,0.11171246988147047,0.14392527112383433,95.98
